user,resort,rating,total_ratings,count
3365,Wildcat Mountain,4,37,0.0
2173,Ski Brule,4,1315,0.0
6718,Vail,5,203,0.0
2433,Keystone,4,140,0.0
274,Killington Resort,5,203,0.0
8035,Norway Mountain,5,24,0.0
1216,Jackson Hole,1,103,0.0
735,Red River,5,86,0.0
5212,Beaver Creek,1,103,0.0
7350,Powderhorn,5,35,0.0
4751,Kirkwood,5,107,0.0
6309,Telluride,5,114,0.0
7012,Holiday Valley,5,73,0.0
260,Stratton Mountain,4,111,0.0
491,Brighton Resort,4,73,0.0
2414,Mount Peter Ski Area,5,54,0.0
1918,Alpine Valley Resort,4,74,0.0
1180,Gunstock,4,41,0.0
5195,Crested Butte Mountain Resort,5,89,0.0
4351,Hunter Mountain,1,113,0.0
5078,Waterville Valley,5,54,0.0
5023,Alta Ski Area,1,140,0.0
6934,Mt Bachelor,2,101,0.0
6053,Holiday Valley,5,73,0.0
8084,Blackjack Ski Resort,5,26,0.0
3940,White Pass,3,56,0.0
2343,Waterville Valley,3,54,0.0
3735,Beaver Creek,3,103,0.0
5639,Nordic Mountain,4,27,0.0
4132,Hunter Mountain,3,113,0.0
4346,Sun Valley,5,65,0.0
3202,Killington Resort,1,203,0.0
2393,Gore Mountain,5,83,0.0
1452,Whitefish Mountain Resort,1,82,0.0
787,Canaan Valley Resort,3,37,0.0
3782,Vail,5,203,0.0
4440,Ski Brule,4,1315,0.0
7640,Mt Crescent Ski Area,5,28,0.0
8058,Jackson Hole,5,103,0.0
26,Boyne Mountain Resort,4,50,0.0
4886,Okemo Mountain Resort,4,130,0.0
8438,Discovery Ski Area,5,32,0.0
7967,Mount Snow,3,132,0.0
3676,Boston Mills,5,45,0.0
5189,White Pass,5,56,0.0
7077,Blue Knob,5,51,0.0
6317,Spirit Mountain,4,40,0.0
6671,Sunburst,3,32,0.0
1079,Mammoth Mountain Ski Area,4,139,0.0
5420,Tyrol Basin,4,35,0.0
7455,Crested Butte Mountain Resort,4,89,0.0
4513,June Mountain,5,33,0.0
3606,Greek Peak,3,57,0.0
1126,Christmas Mountain,2,23,0.0
6560,Soda Springs,2,25,0.0
8351,Roundtop Mountain Resort,3,55,0.0
5592,Ober Gatlinburg Ski Resort,3,45,0.0
4540,Steamboat,4,150,0.0
5,Elk Mountain Ski Resort,4,107,0.0
811,Sundance,5,37,0.0
1763,Waterville Valley,5,54,0.0
1517,Ski Brule,4,1315,0.0
4658,Vail,5,203,0.0
6307,Aspen Snowmass,5,62,0.0
1157,Big Boulder,4,43,0.0
5287,Whitefish Mountain Resort,4,82,0.0
5001,Perfect North Slopes,1,69,0.0
5491,Ski Brule,5,1315,0.0
621,Breckenridge,4,186,0.0
2401,Winterplace Ski Resort,1,57,0.0
6615,Aspen Snowmass,5,62,0.0
7129,Christie Mountain,5,21,0.0
